Imports,2019.0,29/08/2019,Thursday,All,Mechanical machinery and equip,All,$,36000000.0,5816000000.0
Exports,2018.0,19/04/2018,Thursday,All,Meat and edible offal,All,$,33000000.0,2564000000.0
Imports,2020.0,22/05/2020,Friday,United Kingdom,All,All,$,3000000.0,610000000.0
Exports,2016.0,18/09/2016,Sunday,All,Meat and edible offal,All,$,15000000.0,4657000000.0
Imports,2019.0,25/07/2019,Thursday,All,Electrical machinery and equip,All,$,19000000.0,2813000000.0
Exports,2017.0,02/07/2017,Sunday,All,Fruit,All,$,28000000.0,1698000000.0
Exports,2016.0,05/04/2016,Tuesday,United States,Meat and edible offal,All,$,2000000.0,509000000.0
Exports,2017.0,08/05/2017,Monday,United States,Meat and edible offal,All,Tonnes,0.0,95000.0
Exports,2016.0,01/03/2016,Tuesday,All,Fruit,All,$,1000000.0,124000000.0
Imports,2016.0,04/11/2016,Friday,All,Non-food manufactured goods,All,$,180000000.0,33805000000.0
Exports,2021.0,31/03/2021,Wednesday,East Asia (excluding China),All,All,$,47000000.0,3157000000.0
Imports,2020.0,23/03/2020,Monday,United Kingdom,All,All,$,4000000.0,373000000.0
Exports,2017.0,29/11/2017,Wednesday,All,Non-food manufactured goods,All,$,27000000.0,11395000000.0
Exports,2020.0,30/10/2020,Friday,All,Meat and edible offal,All,Tonnes,2000.0,825000.0
Exports,2018.0,02/01/2018,Tuesday,Australia,All,All,$,10000000.0,37000000.0
Reimports,2015.0,01/07/2015,Wednesday,All,All,All,$,0.0,103000000.0
Imports,2021.0,13/11/2021,Saturday,All,Electrical machinery and equip,All,$,2000000.0,5228000000.0
Exports,2015.0,15/11/2015,Sunday,All,All,Sea,$,91000000.0,37488000000.0
Exports,2017.0,04/06/2017,Sunday,All,Meat and edible offal,All,Tonnes,7000.0,496000.0
Exports,2017.0,04/12/2017,Monday,All,All,All,$,249000000.0,48900000000.0
Exports,2016.0,17/07/2016,Sunday,European Union (27),All,All,$,9000000.0,2213000000.0
Exports,2018.0,04/11/2018,Sunday,All,All,Sea,$,114000000.0,42829000000.0
Exports,2021.0,31/10/2021,Sunday,United Kingdom,All,All,$,4000000.0,1162000000.0
Exports,2020.0,02/02/2020,Sunday,All,Meat and edible offal,All,$,15000000.0,825000000.0
Exports,2020.0,17/06/2020,Wednesday,Australia,All,All,$,7000000.0,3649000000.0
Imports,2020.0,07/09/2020,Monday,All,All,Air,$,52000000.0,8400000000.0
Exports,2018.0,26/05/2018,Saturday,European Union (27),All,All,$,24000000.0,1834000000.0
